rank_used,svd_topk_err_mean,svd_topk_err_std,random_AB_err_mean,random_AB_err_std,rand_svd_subspace_err_mean,rand_svd_subspace_err_std,leverage_col_err_mean,leverage_col_err_std,random_colprune_err_mean,random_colprune_err_std
8,0.8404804641857249,0.0026716832717964966,1.4145611909793943,0.008041716192554494,0.9349460201187384,0.016041202248464254,0.9212792523284863,0.0017308803224605077,0.9350885639782562,0.0026264798059522803
16,0.7013634187699225,0.003784182121181908,1.4133777195987622,0.007903250831388521,0.8659983650719931,0.024736619229988148,0.8423937860062257,0.0024138368491432504,0.8666475164583322,0.003633391787618088
32,0.4571849423082874,0.0040188185269154015,1.4147952508365267,0.007696731844657519,0.7049691747101982,0.03167336633759081,0.6713584618369852,0.00347454579007493,0.707536912763707,0.005442754387944557
