seed,trial,n,m,rank_requested,rank_used,k_ratio,svd_topk_err,random_AB_err,rand_svd_subspace_err,leverage_col_err,random_colprune_err,params_svd_topk,params_random_AB,nnz_svd_col,topk_energy
0,0,128,64,8,8,0.125,0.8361283449423684,1.416812763239552,0.9330971695448474,0.9206441655538546,0.9366574963535949,1544,1536,1024,0.30088939078393584
0,1,128,64,8,8,0.125,0.8398278989684014,1.422369461145855,0.9512414034436578,0.9212971301102988,0.9348321399441702,1544,1536,1024,0.2946891001143205
0,2,128,64,8,8,0.125,0.8442635337009483,1.4191286651632062,0.9487302925133454,0.9237256154403596,0.9316895434601291,1544,1536,1024,0.2872190856627877
0,3,128,64,8,8,0.125,0.8452310678362651,1.4107374769410919,0.9345853923735172,0.9229500241920793,0.9288984366799329,1544,1536,1024,0.2855844419643671
0,4,128,64,8,8,0.125,0.837780712548395,1.407790386263412,0.9369229120350523,0.9204949122552095,0.9328405127426953,1544,1536,1024,0.2981234776819032
0,5,128,64,8,8,0.125,0.8414691127794554,1.408241684590074,0.9587056919074947,0.9226812087281588,0.9403774215745353,1544,1536,1024,0.2919297322381562
0,6,128,64,8,8,0.125,0.8378417399684931,1.4232784757416654,0.920429513148182,0.9204722386341558,0.9351547516140755,1544,1536,1024,0.29802121876656784
0,7,128,64,8,8,0.125,0.8380119665027491,1.4180573359340012,0.9295386130853973,0.9200789862725259,0.9382478970239141,1544,1536,1024,0.2977359439981953
0,8,128,64,8,8,0.125,0.8366642134065652,1.4175455697348274,0.9014060601380555,0.920495192725356,0.9339451326409305,1544,1536,1024,0.2999929940047734
0,9,128,64,8,8,0.125,0.8461074396885772,1.4157687567517367,0.9477725536119213,0.9199589017601639,0.937809730147853,1544,1536,1024,0.2841022005036409
0,10,128,64,8,8,0.125,0.839538955674991,1.4168496580427126,0.9386091642980386,0.9195067327091995,0.9369388873489278,1544,1536,1024,0.2951743419041455
0,11,128,64,8,8,0.125,0.8368111356735852,1.4120030522287934,0.950912529665717,0.9224332130613515,0.9358629644916041,1544,1536,1024,0.29974712321268443
0,12,128,64,8,8,0.125,0.84213056351007,1.3986996777931213,0.9183154564382091,0.9244401338648274,0.9320312186614974,1544,1536,1024,0.29081611400221186
0,13,128,64,8,8,0.125,0.8387327771402248,1.4097205708656209,0.9386296426707444,0.9222659321392229,0.9365864981628351,1544,1536,1024,0.296527328550646
0,14,128,64,8,8,0.125,0.8363831880891133,1.403653868547915,0.9408150644196903,0.9231871238548182,0.9359134502992338,1544,1536,1024,0.3004631626818909
0,15,128,64,8,8,0.125,0.8387374826094308,1.4176841500507116,0.9178466200887948,0.922569651505699,0.9363379698760521,1544,1536,1024,0.29651943526599434
0,16,128,64,8,8,0.125,0.8396729651452177,1.4150181096332783,0.9613582767137002,0.9191858627221415,0.9336353117280788,1544,1536,1024,0.2949493116042384
0,17,128,64,8,8,0.125,0.8446995072354765,1.4209111561697847,0.9277939939423988,0.9215773928666987,0.9329235437535197,1544,1536,1024,0.286482742476143
0,18,128,64,8,8,0.125,0.8387289866540713,1.4149854331532836,0.9552202178818436,0.9202160040476455,0.9370648512001114,1544,1536,1024,0.29653368694623466
0,19,128,64,8,8,0.125,0.8381939518827598,1.4193920497071322,0.8859423595803467,0.9175604780546359,0.9296925444506646,1544,1536,1024,0.2974308990271621
0,20,128,64,8,8,0.125,0.8376890838270018,1.3983268415054102,0.9346960624662376,0.9204501671497208,0.9372863672905791,1544,1536,1024,0.29827699883707826
0,21,128,64,8,8,0.125,0.8408934781609567,1.4053245664049552,0.9267144881332127,0.9237597697187557,0.9306514499434535,1544,1536,1024,0.2928981583863686
0,22,128,64,8,8,0.125,0.8416887054998086,1.4300361147123226,0.9137282871825336,0.9212350825304048,0.934144395004549,1544,1536,1024,0.2915601230340565
0,23,128,64,8,8,0.125,0.8386041929723708,1.4220266769443801,0.9443747132419937,0.9232545442879678,0.9343274753561469,1544,1536,1024,0.2967430075291586
0,24,128,64,8,8,0.125,0.8408484067471058,1.4262049344192183,0.9415257101647672,0.9177043462764761,0.936140215122612,1544,1536,1024,0.29297395687085376
0,25,128,64,8,8,0.125,0.83864949849946,1.404281684206307,0.9148855705441774,0.9250343377120966,0.9340631747306314,1544,1536,1024,0.29666701866660444
0,26,128,64,8,8,0.125,0.8382402835048416,1.4216939225465808,0.9192622106250754,0.916319143695796,0.9403671687572872,1544,1536,1024,0.2973532271097229
0,27,128,64,8,8,0.125,0.8436557394961252,1.4219358351479543,0.9524266160027011,0.9222507528085278,0.9404193538734607,1544,1536,1024,0.2882449932152463
0,28,128,64,8,8,0.125,0.8379775164245192,1.4069505286681037,0.9099780767035855,0.9200427615263675,0.9317670734898541,1544,1536,1024,0.29779368196699446
0,29,128,64,8,8,0.125,0.8353904701540878,1.418707705425673,0.9473068455166093,0.9226051076726637,0.9329110271031356,1544,1536,1024,0.30212276237573216
0,30,128,64,8,8,0.125,0.8420264024467718,1.4124056652178223,0.9037713440940232,0.9215938908152371,0.9388417720639741,1544,1536,1024,0.29099153758254687
0,31,128,64,8,8,0.125,0.840255313657745,1.4150117375164293,0.9317186170046021,0.9230781568664256,0.9372843554418184,1544,1536,1024,0.29397100786992497
0,32,128,64,8,8,0.125,0.8392499983459741,1.4142233604016032,0.9418070354462085,0.9192660693052317,0.9312937088687775,1544,1536,1024,0.2956594402762829
0,33,128,64,8,8,0.125,0.837647835588977,1.4238249238767067,0.9684225701576927,0.9166147785698954,0.9296675792098461,1544,1536,1024,0.29834610353310215
